                    *********************************************************************************
                    *  Z= 36 A= 84: Positive-Parity Spin-dependent Level Density [MeV-1] for KR 84  *
   2.25  0.543  6.00E+00 5.00E+00 3.93E+01 1.43E+00 0.00E+00 7.14E-01 0.00E+00 1.43E+00 0.00E+00 7.14E-01 0.00E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.572  7.00E+00 7.86E+00 6.21E+01 2.86E+00 0.00E+00 7.14E-01 0.00E+00 1.43E+00 0.00E+00 1.43E+00 0.00E+00 1.43E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.600  9.00E+00 1.00E+01 7.86E+01 2.86E+00 0.00E+00 1.43E+00 0.00E+00 2.86E+00 0.00E+00 1.43E+00 0.00E+00 1.43E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.627  1.30E+01 1.43E+01 1.06E+02 4.29E+00 1.43E+00 1.43E+00 0.00E+00 2.86E+00 0.00E+00 2.14E+00 0.00E+00 2.14E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.652  1.70E+01 1.93E+01 1.38E+02 4.29E+00 1.43E+00 4.29E+00 7.14E-01 4.29E+00 0.00E+00 2.14E+00 0.00E+00 2.14E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.677  2.20E+01 2.36E+01 1.52E+02 5.71E+00 2.86E+00 5.00E+00 1.43E+00 4.29E+00 0.00E+00 2.14E+00 0.00E+00 2.14E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.701  2.80E+01 2.64E+01 1.75E+02 5.00E+00 2.86E+00 7.14E+00 1.43E+00 5.71E+00 0.00E+00 2.14E+00 0.00E+00 2.14E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.724  3.60E+01 3.50E+01 2.26E+02 7.14E+00 4.29E+00 8.57E+00 2.86E+00 6.43E+00 0.00E+00 2.86E+00 0.00E+00 2.86E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.746  4.60E+01 4.14E+01 3.17E+02 5.71E+00 3.57E+00 1.14E+01 3.57E+00 7.14E+00 7.14E-01 3.57E+00 7.14E-01 3.57E+00 7.14E-01 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.768  5.70E+01 5.14E+01 4.34E+02 7.14E+00 4.29E+00 1.14E+01 5.00E+00 8.57E+00 1.43E+00 4.29E+00 1.43E+00 3.57E+00 1.43E+00 1.43E+00 7.14E-01 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.789  7.50E+01 8.86E+01 9.69E+02 8.57E+00 3.57E+00 1.64E+01 6.43E+00 1.36E+01 4.29E+00 9.29E+00 3.57E+00 8.57E+00 2.86E+00 4.29E+00 1.43E+00 2.86E+00 7.14E-01 1.43E+00 0.00E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.809  9.90E+01 1.03E+02 1.16E+03 1.00E+01 4.29E+00 1.57E+01 7.14E+00 1.64E+01 5.00E+00 1.14E+01 5.00E+00 9.29E+00 4.29E+00 5.71E+00 2.14E+00 3.57E+00 7.14E-01 1.43E+00 0.00E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.849  1.72E+02 1.91E+02 2.32E+03 1.43E+01 5.00E+00 2.43E+01 1.36E+01 2.86E+01 1.43E+01 2.21E+01 1.29E+01 1.86E+01 9.29E+00 1.14E+01 4.29E+00 7.14E+00 1.43E+00 2.86E+00 0.00E+00 1.43E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.886  3.05E+02 3.40E+02 4.09E+03 2.07E+01 1.07E+01 3.86E+01 2.64E+01 4.71E+01 3.14E+01 4.29E+01 2.93E+01 3.36E+01 1.79E+01 1.86E+01 6.43E+00 9.29E+00 1.43E+00 3.57E+00 0.00E+00 2.14E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.923  5.23E+02 5.34E+02 6.21E+03 3.00E+01 2.29E+01 6.00E+01 4.79E+01 7.21E+01 5.43E+01 6.57E+01 4.79E+01 5.00E+01 2.86E+01 2.64E+01 9.29E+00 1.14E+01 1.43E+00 3.57E+00 0.00E+00 2.14E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.957  9.06E+02 9.95E+02 1.25E+04 4.50E+01 4.71E+01 1.08E+02 9.36E+01 1.24E+02 9.36E+01 1.10E+02 8.14E+01 8.36E+01 5.43E+01 5.21E+01 2.64E+01 2.79E+01 1.29E+01 1.43E+01 6.43E+00 7.86E+00 2.86E+00 2.14E+00 7.14E-01 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.991  1.62E+03 1.85E+03 2.51E+04 7.36E+01 8.50E+01 1.88E+02 1.66E+02 2.16E+02 1.62E+02 1.87E+02 1.36E+02 1.45E+02 1.01E+02 1.01E+02 6.29E+01 6.57E+01 3.86E+01 3.86E+01 2.29E+01 2.29E+01 1.07E+01 1.07E+01 4.29E+00 4.29E+00 1.43E+00 1.43E+00 0.00E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  1.024  2.87E+03 3.16E+03 4.44E+04 1.09E+02 1.36E+02 2.97E+02 2.73E+02 3.55E+02 2.79E+02 3.21E+02 2.41E+02 2.55E+02 1.88E+02 1.85E+02 1.21E+02 1.21E+02 7.29E+01 6.93E+01 4.07E+01 4.00E+01 1.86E+01 1.93E+01 7.86E+00 7.86E+00 2.86E+00 2.86E+00 0.00E+00 1.43E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  1.055  5.07E+03 5.64E+03 8.13E+04 1.58E+02 2.26E+02 4.66E+02 4.62E+02 6.02E+02 5.15E+02 5.77E+02 4.65E+02 4.78E+02 3.71E+02 3.52E+02 2.49E+02 2.29E+02 1.46E+02 1.24E+02 7.21E+01 6.29E+01 2.86E+01 2.86E+01 1.14E+01 1.14E+01 4.29E+00 4.29E+00 0.00E+00 2.14E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  1.086  8.74E+03 9.04E+03 1.31E+05 2.15E+02 3.48E+02 6.92E+02 7.29E+02 9.36E+02 8.51E+02 9.41E+02 7.93E+02 7.92E+02 6.29E+02 5.79E+02 4.19E+02 3.67E+02 2.40E+02 1.94E+02 1.14E+02 9.07E+01 4.14E+01 3.57E+01 1.36E+01 1.21E+01 4.29E+00 4.29E+00 0.00E+00 2.14E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  1.115  1.47E+04 1.46E+04 2.13E+05 3.12E+02 5.64E+02 1.08E+03 1.19E+03 1.50E+03 1.42E+03 1.54E+03 1.33E+03 1.29E+03 1.03E+03 9.17E+02 6.70E+02 5.69E+02 3.83E+02 3.06E+02 1.87E+02 1.46E+02 7.36E+01 6.00E+01 2.57E+01 2.14E+01 7.86E+00 7.14E+00 7.14E-01 2.86E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  1.144  2.46E+04 2.53E+04 3.87E+05 4.80E+02 9.26E+02 1.73E+03 1.96E+03 2.46E+03 2.39E+03 2.57E+03 2.26E+03 2.19E+03 1.77E+03 1.57E+03 1.17E+03 1.00E+03 7.08E+02 5.89E+02 3.98E+02 3.32E+02 2.11E+02 1.79E+02 1.09E+02 9.29E+01 5.50E+01 4.71E+01 2.50E+01 2.43E+01 1.14E+01 1.00E+01 4.29E+00 4.29E+00 3.57E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  1.200  7.37E+04 7.29E+04 1.19E+06 1.18E+03 2.55E+03 4.52E+03 5.29E+03 6.46E+03 6.44E+03 6.81E+03 6.22E+03 6.03E+03 5.15E+03 4.67E+03 3.75E+03 3.27E+03 2.51E+03 2.11E+03 1.56E+03 1.28E+03 8.93E+02 7.10E+02 4.64E+02 3.60E+02 2.20E+02 1.69E+02 9.36E+01 7.93E+01 3.93E+01 3.29E+01 1.36E+01 1.36E+01 1.07E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  1.254  2.12E+05 2.04E+05 3.42E+06 2.84E+03 6.82E+03 1.16E+04 1.42E+04 1.70E+04 1.76E+04 1.84E+04 1.74E+04 1.68E+04 1.49E+04 1.35E+04 1.13E+04 9.76E+03 7.76E+03 6.39E+03 4.84E+03 3.84E+03 2.77E+03 2.12E+03 1.45E+03 1.08E+03 6.87E+02 4.94E+02 2.90E+02 2.10E+02 1.10E+02 7.86E+01 3.36E+01 2.64E+01 1.93E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  1.305  5.90E+05 5.50E+05 9.60E+06 6.69E+03 1.70E+04 2.86E+04 3.58E+04 4.31E+04 4.57E+04 4.81E+04 4.65E+04 4.50E+04 4.06E+04 3.69E+04 3.14E+04 2.71E+04 2.20E+04 1.82E+04 1.41E+04 1.13E+04 8.42E+03 6.58E+03 4.74E+03 3.64E+03 2.55E+03 1.94E+03 1.31E+03 9.96E+02 6.49E+02 4.89E+02 3.01E+02 2.29E+02 3.64E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  1.354  1.62E+06 1.52E+06 2.75E+07 1.64E+04 4.38E+04 7.25E+04 9.27E+04 1.11E+05 1.20E+05 1.27E+05 1.25E+05 1.21E+05 1.11E+05 1.02E+05 8.86E+04 7.73E+04 6.45E+04 5.42E+04 4.36E+04 3.55E+04 2.76E+04 2.18E+04 1.64E+04 1.26E+04 9.15E+03 6.85E+03 4.77E+03 3.48E+03 2.32E+03 1.64E+03 1.03E+03 7.22E+02 1.08E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  1.402  3.51E+06 2.25E+06 4.14E+07 2.34E+04 6.37E+04 1.05E+05 1.35E+05 1.62E+05 1.75E+05 1.85E+05 1.83E+05 1.79E+05 1.65E+05 1.52E+05 1.33E+05 1.17E+05 9.83E+04 8.29E+04 6.72E+04 5.47E+04 4.28E+04 3.39E+04 2.56E+04 1.97E+04 1.44E+04 1.07E+04 7.55E+03 5.48E+03 3.67E+03 2.58E+03 1.63E+03 1.11E+03 1.56E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
